order_id,order_date,region,category,sub_category,sales,profit
ORD42967,2023-08-18,East,Office Supplies,Pens,335.88,37.82
ORD75655,2024-11-10,East,Furniture,Bookcases,839.24,162.64
ORD12567,2024-01-18,East,Technology,Laptops,584.72,140.79
ORD68071,2024-02-08,West,Office Supplies,Pens,658.48,183.73
ORD45168,2025-03-10,West,Technology,Laptops,642.09,111.04
ORD08760,2023-11-01,East,Office Supplies,Paper,420.18,54.73
ORD85977,2025-01-19,East,Furniture,Tables,423.41,73.62
ORD03482,2025-05-29,South,Technology,Phones,465.73,59.91
ORD47710,2024-10-10,Central,Furniture,Tables,867.61,222.31
ORD93248,2023-06-19,East,Technology,Accessories,472.74,30.04
ORD86131,2024-06-01,Central,Technology,Laptops,632.9,151.89
ORD12748,2024-12-07,West,Office Supplies,Pens,148.39,18.1
ORD46773,2024-05-28,South,Furniture,Chairs,973.68,196.9
ORD82639,2024-07-07,West,Technology,Phones,324.54,17.34
ORD21465,2025-06-03,South,Furniture,Chairs,992.41,276.12
ORD84044,2025-03-20,South,Furniture,Bookcases,835.5,145.87
ORD99727,2024-07-31,Central,Technology,Accessories,287.96,74.49
ORD75588,2024-03-27,South,Furniture,Tables,560.24,81.74
ORD75339,2024-04-01,West,Furniture,Tables,777.22,204.88
ORD36057,2024-12-07,Central,Technology,Laptops,824.14,99.48
ORD66270,2023-09-15,Central,Technology,Accessories,998.92,172.22
ORD89517,2023-08-25,West,Office Supplies,Pens,494.65,65.84
ORD87026,2025-04-15,South,Office Supplies,Paper,872.21,257.47
ORD21745,2024-10-05,West,Technology,Laptops,248.89,60.7
ORD61586,2024-02-09,East,Office Supplies,Pens,483.52,134.59
ORD78091,2023-12-08,South,Office Supplies,Pens,796.55,169.67
ORD43161,2025-01-19,West,Office Supplies,Binders,143.72,41.87
ORD17240,2023-07-14,Central,Furniture,Tables,117.72,32.68
ORD50455,2024-05-08,East,Technology,Phones,421.78,90.13
ORD23869,2024-11-19,West,Furniture,Tables,785.89,91.36
ORD22219,2025-04-15,South,Technology,Phones,854.73,224.87
ORD69379,2023-09-28,South,Office Supplies,Pens,724.34,173.73
ORD37474,2024-11-07,East,Technology,Phones,250.07,55.29
ORD07482,2023-08-05,Central,Furniture,Bookcases,108.57,31.98
ORD75946,2024-11-26,East,Office Supplies,Binders,700.12,193.13
ORD47436,2025-04-01,East,Office Supplies,Binders,307.5,44.19
ORD71369,2024-03-13,West,Furniture,Bookcases,423.81,93.43
ORD94406,2024-01-08,West,Furniture,Chairs,97.39,26.07
ORD09097,2025-03-16,West,Office Supplies,Pens,160.26,26.49
ORD43953,2024-10-15,Central,Office Supplies,Paper,673.5,185.03
ORD39421,2025-05-10,South,Office Supplies,Pens,555.67,38.04
ORD04709,2024-03-18,Central,Technology,Laptops,646.16,100.85
ORD21456,2023-10-23,Central,Office Supplies,Paper,215.23,31.46
ORD32858,2024-07-02,South,Furniture,Chairs,393.74,55.02
ORD42474,2025-01-08,Central,Technology,Laptops,41.5,10.69
ORD51712,2025-01-14,South,Office Supplies,Binders,574.61,127.25
ORD36851,2025-02-12,East,Technology,Accessories,506.79,139.89
ORD60481,2024-05-27,Central,Furniture,Bookcases,805.89,84.42
ORD54965,2023-09-01,West,Technology,Laptops,684.21,157.53
ORD37098,2024-02-18,West,Technology,Phones,905.34,191.56
ORD93174,2024-10-25,Central,Office Supplies,Binders,587.98,137.05
ORD61200,2024-01-31,East,Office Supplies,Paper,752.53,70.67
ORD71138,2023-09-22,West,Technology,Laptops,540.24,150.39
ORD67586,2024-09-07,West,Office Supplies,Paper,968.04,119.83
ORD26179,2024-04-20,Central,Furniture,Tables,963.64,82.09
ORD40537,2024-05-19,West,Technology,Accessories,680.92,101.7
ORD35158,2025-05-09,Central,Furniture,Tables,33.64,6.19
ORD50643,2023-09-11,South,Office Supplies,Pens,754.03,87.12
ORD71390,2023-07-18,South,Technology,Laptops,126.18,13.68
ORD53293,2023-08-01,East,Technology,Accessories,341.45,69.15
ORD83933,2024-02-19,East,Technology,Laptops,911.2,114.4
ORD29042,2023-09-17,South,Furniture,Chairs,64.44,3.82
ORD84210,2023-09-19,South,Furniture,Chairs,250.1,46.12
ORD05395,2023-06-21,South,Office Supplies,Paper,677.08,159.65
ORD24026,2024-07-21,South,Technology,Accessories,732.07,198.65
ORD11775,2024-07-11,East,Office Supplies,Pens,419.95,120.9
ORD91783,2024-09-28,East,Technology,Laptops,232.92,37.54
ORD08470,2023-07-26,West,Office Supplies,Binders,981.31,139.18
ORD76617,2024-12-13,Central,Furniture,Tables,290.36,84.8
ORD71159,2023-10-02,South,Furniture,Bookcases,227.86,47.82
ORD12499,2024-08-07,East,Furniture,Tables,258.7,21.08
ORD56984,2024-05-26,West,Furniture,Bookcases,223.01,23.19
ORD89611,2025-04-01,West,Office Supplies,Binders,792.87,157.78
ORD83673,2024-04-25,Central,Furniture,Chairs,549.41,137.15
ORD57661,2024-02-06,East,Technology,Phones,149.17,20.82
ORD65452,2024-11-23,West,Technology,Laptops,35.47,4.13
ORD71111,2024-05-09,West,Technology,Laptops,535.56,126.62
ORD15280,2024-09-06,South,Office Supplies,Paper,522.97,40.41
ORD88516,2024-03-09,West,Technology,Phones,732.7,203.1
ORD60494,2024-03-08,Central,Office Supplies,Pens,964.75,62.91
ORD19832,2024-10-31,South,Office Supplies,Paper,692.38,119.48
ORD73158,2024-03-20,South,Furniture,Chairs,335.67,29.23
ORD14936,2025-03-26,West,Office Supplies,Pens,640.42,119.82
ORD89980,2024-09-24,Central,Office Supplies,Pens,539.95,88.24
ORD40244,2025-05-24,South,Furniture,Bookcases,132.13,28.23
ORD55022,2024-08-21,West,Office Supplies,Paper,890.33,136.62
ORD61201,2025-01-08,South,Office Supplies,Paper,735.02,94.18
ORD83667,2024-02-28,Central,Technology,Laptops,386.82,34.1
ORD25459,2024-09-14,South,Furniture,Chairs,835.14,61.22
ORD10229,2023-07-17,East,Technology,Accessories,385.19,31.79
ORD14767,2024-09-22,East,Technology,Accessories,570.45,124.07
ORD76438,2023-09-05,South,Office Supplies,Pens,942.31,146.75
ORD56149,2024-06-20,East,Office Supplies,Pens,326.2,24.76
ORD84036,2024-09-16,West,Furniture,Bookcases,492.55,128.96
ORD00343,2025-01-25,Central,Technology,Laptops,132.59,15.86
ORD24451,2023-06-15,West,Office Supplies,Pens,975.06,248.26
ORD76226,2024-07-26,East,Technology,Accessories,832.87,97.33
ORD38851,2024-04-12,West,Office Supplies,Pens,767.16,215.1
ORD06071,2025-04-08,Central,Furniture,Chairs,872.47,167.15
ORD59696,2024-12-11,South,Furniture,Chairs,746.15,218.59
ORD64160,2024-02-16,East,Technology,Accessories,230.83,35.77
ORD29751,2024-05-13,Central,Furniture,Tables,325.4,42.66
ORD13696,2024-07-19,East,Furniture,Chairs,174.26,35.63
ORD16453,2024-02-22,East,Office Supplies,Paper,668.7,114.63
ORD21818,2024-07-09,South,Office Supplies,Paper,231.26,41.18
ORD35523,2023-08-27,Central,Office Supplies,Binders,297.58,65.35
ORD24329,2023-10-05,South,Technology,Accessories,322.25,33.88
ORD12779,2025-01-19,East,Furniture,Chairs,315.39,32.42
ORD97995,2025-04-10,West,Office Supplies,Paper,341.56,17.74
ORD52717,2024-05-17,South,Furniture,Chairs,392.6,88.7
ORD44905,2024-07-07,Central,Furniture,Tables,864.53,52.37
ORD14770,2023-07-23,East,Office Supplies,Binders,864.87,167.73
ORD54119,2024-09-12,South,Technology,Accessories,429.34,33.83
ORD86798,2025-02-13,East,Office Supplies,Binders,805.3,164.71
ORD07935,2024-09-20,Central,Furniture,Tables,847.59,93.94
ORD78207,2023-08-28,South,Technology,Phones,407.85,52.03
ORD51820,2023-12-18,Central,Furniture,Tables,783.54,54.14
ORD77889,2023-10-10,East,Technology,Accessories,210.03,51.26
ORD55466,2025-01-30,Central,Technology,Accessories,818.74,89.3
ORD59051,2024-02-20,West,Office Supplies,Binders,190.03,16.76
ORD18644,2024-12-22,East,Furniture,Bookcases,504.23,120.32
ORD92519,2024-11-05,South,Technology,Accessories,650.13,192.85
ORD25462,2024-09-13,Central,Technology,Laptops,167.94,11.26
ORD14865,2025-03-01,South,Technology,Laptops,800.4,158.36
ORD28168,2024-03-16,Central,Technology,Phones,324.2,52.84
ORD05423,2024-02-29,East,Office Supplies,Paper,95.2,25.33
ORD73322,2023-08-07,East,Technology,Accessories,516.93,85.64
ORD41888,2023-07-08,East,Office Supplies,Pens,658.8,85.9
ORD59296,2023-10-06,South,Technology,Phones,958.57,155.89
ORD22927,2023-07-12,Central,Technology,Phones,514.46,47.92
ORD65379,2024-01-16,West,Technology,Laptops,991.17,179.42
ORD73834,2025-02-26,West,Office Supplies,Paper,919.58,135.04
ORD73597,2024-06-01,Central,Technology,Accessories,71.32,14.81
ORD46886,2023-10-12,Central,Furniture,Tables,112.62,24.73
ORD39240,2024-10-19,Central,Office Supplies,Pens,854.53,248.76
ORD75818,2025-03-31,West,Office Supplies,Binders,591.08,50.45
ORD14124,2024-05-22,Central,Office Supplies,Pens,704.51,104.26
ORD82613,2025-03-04,East,Office Supplies,Pens,389.15,96.48
ORD75060,2024-04-11,West,Technology,Accessories,832.38,195.35
ORD85361,2024-03-26,East,Technology,Accessories,434.94,61.09
ORD30515,2025-02-12,Central,Office Supplies,Binders,952.15,128.95
ORD22047,2024-11-30,South,Furniture,Chairs,999.98,88.73
ORD27790,2025-05-12,Central,Furniture,Bookcases,775.46,200.67
ORD10432,2024-08-08,East,Technology,Laptops,878.86,179.73
ORD98614,2023-12-10,South,Furniture,Chairs,197.23,44.02
ORD41036,2024-10-17,West,Technology,Laptops,62.82,8.86
ORD97117,2024-09-14,West,Office Supplies,Pens,299.23,70.96
ORD80893,2024-12-18,South,Furniture,Bookcases,254.39,74.13
ORD24609,2024-03-09,South,Furniture,Tables,684.74,131.88
ORD39621,2024-07-19,South,Office Supplies,Paper,782.56,137.52
ORD51888,2025-02-08,South,Furniture,Chairs,805.23,68.12
ORD88067,2023-07-12,Central,Furniture,Bookcases,490.98,70.11
ORD65405,2025-02-10,East,Technology,Accessories,854.14,103.58
ORD15319,2024-12-31,West,Office Supplies,Paper,907.2,78.78
ORD52058,2024-02-26,South,Furniture,Chairs,820.37,222.45
ORD27722,2023-07-28,East,Office Supplies,Binders,408.52,58.62
ORD70430,2025-02-12,South,Furniture,Tables,240.05,31.13
ORD30548,2024-04-13,East,Technology,Accessories,348.58,30.16
ORD87403,2024-01-17,East,Office Supplies,Paper,702.15,59.47
ORD50541,2025-02-18,South,Office Supplies,Pens,25.15,1.76
ORD56676,2024-02-27,Central,Furniture,Chairs,557.83,129.31
ORD27758,2024-01-02,South,Furniture,Tables,252.89,20.35
ORD16169,2025-03-08,West,Office Supplies,Pens,798.02,131.1
ORD28451,2023-08-10,East,Office Supplies,Pens,545.33,113.42
ORD54479,2024-12-17,West,Technology,Phones,305.45,15.39
ORD62757,2023-07-11,Central,Furniture,Bookcases,428.24,92.54
ORD59640,2023-08-06,East,Technology,Laptops,86.33,15.67
ORD65820,2023-09-27,East,Office Supplies,Paper,62.66,9.19
ORD97021,2023-12-09,Central,Office Supplies,Pens,35.92,8.88
ORD55690,2024-09-20,Central,Furniture,Bookcases,663.96,50.41
ORD27557,2025-01-21,Central,Furniture,Chairs,365.25,49.18
ORD19285,2024-04-13,West,Technology,Laptops,981.2,166.44
ORD54310,2024-12-31,West,Furniture,Chairs,721.72,206.34
ORD27868,2023-09-08,East,Office Supplies,Binders,62.93,6.28
ORD44739,2024-01-16,East,Office Supplies,Paper,525.08,156.1
ORD73121,2024-05-25,South,Office Supplies,Binders,758.23,74.14
ORD27155,2024-12-11,Central,Furniture,Bookcases,345.29,28.01
ORD18844,2025-03-31,Central,Office Supplies,Paper,748.44,204.82
ORD22583,2023-09-11,South,Office Supplies,Binders,506.28,88.29
ORD32370,2024-03-15,Central,Furniture,Bookcases,436.01,68.74
ORD89578,2023-09-17,West,Technology,Laptops,334.79,23.44
ORD91146,2024-12-16,Central,Office Supplies,Paper,610.57,95.57
ORD78669,2023-08-05,South,Office Supplies,Paper,61.51,16.45
ORD25177,2024-11-18,Central,Technology,Laptops,289.06,85.27
ORD85289,2023-10-28,East,Furniture,Bookcases,644.76,90.8
ORD26801,2024-07-15,West,Furniture,Chairs,851.7,186.97
ORD24225,2025-06-04,South,Furniture,Chairs,85.89,21.01
ORD35841,2023-12-20,Central,Office Supplies,Paper,950.48,55.22
ORD38424,2024-09-28,West,Technology,Laptops,949.85,135.83
ORD81829,2024-09-02,East,Technology,Phones,538.87,80.57
ORD22995,2025-03-24,Central,Furniture,Chairs,45.4,4.38
ORD90010,2024-10-19,South,Technology,Phones,276.54,31.82
ORD94396,2024-10-01,South,Furniture,Bookcases,299.87,83.7
ORD07844,2024-06-18,South,Furniture,Chairs,153.01,10.48
ORD36471,2024-11-24,West,Technology,Laptops,997.32,251.95
ORD02767,2024-06-03,Central,Technology,Laptops,715.35,134.13
ORD35925,2025-04-08,Central,Office Supplies,Binders,717.57,202.23
ORD55625,2024-07-12,West,Office Supplies,Pens,239.76,71.04
ORD81537,2023-09-12,West,Furniture,Tables,45.76,8.63
ORD47321,2023-07-18,Central,Office Supplies,Pens,147.18,39.89
ORD46963,2025-04-11,East,Office Supplies,Paper,999.6,229.63
ORD25953,2025-01-21,South,Office Supplies,Pens,92.28,27.05
ORD27877,2025-04-21,East,Office Supplies,Paper,686.51,93.45
ORD47016,2024-07-05,West,Furniture,Tables,512.81,136.95
ORD73395,2023-07-16,East,Technology,Phones,318.04,28.78
ORD04797,2024-01-16,West,Office Supplies,Pens,897.03,234.56
ORD80162,2025-04-24,Central,Furniture,Bookcases,957.22,113.54
ORD45650,2024-04-15,Central,Technology,Accessories,111.56,23.46
ORD09835,2024-08-11,West,Furniture,Bookcases,631.99,174.11
ORD41687,2025-01-22,Central,Technology,Phones,828.73,47.31
ORD84991,2023-09-16,East,Technology,Accessories,279.36,28.69
ORD16558,2025-06-07,South,Technology,Accessories,49.68,13.53
ORD52398,2024-04-15,Central,Technology,Laptops,493.29,123.9
ORD80002,2024-12-14,South,Office Supplies,Paper,91.51,5.95
ORD57872,2024-09-21,South,Office Supplies,Paper,475.15,64.17
ORD82595,2023-10-13,West,Office Supplies,Pens,332.93,98.88
ORD69495,2024-07-07,Central,Office Supplies,Binders,765.45,136.82
ORD88794,2024-06-11,East,Office Supplies,Binders,477.14,55.76
ORD05516,2024-09-04,West,Furniture,Chairs,69.59,19.93
ORD40974,2024-10-30,South,Furniture,Chairs,817.21,231.63
ORD99309,2024-06-16,Central,Furniture,Chairs,508.3,90.82
ORD28962,2025-03-08,South,Office Supplies,Paper,42.71,12.23
ORD30913,2023-06-23,South,Furniture,Chairs,591.68,36.78
ORD75626,2024-11-26,Central,Office Supplies,Pens,884.69,188.94
ORD36897,2025-04-16,South,Office Supplies,Pens,28.01,2.15
ORD02838,2024-02-16,West,Office Supplies,Pens,378.46,57.08
ORD78652,2024-05-31,East,Office Supplies,Binders,578.88,57.11
ORD85854,2024-09-24,Central,Furniture,Tables,514.17,123.97
ORD73348,2024-01-26,Central,Technology,Accessories,618.82,50.85
ORD34437,2024-02-10,East,Office Supplies,Paper,799.0,107.68
ORD75844,2023-09-11,Central,Furniture,Chairs,610.41,91.77
ORD98665,2025-01-29,East,Furniture,Chairs,154.3,20.56
ORD24041,2024-03-04,South,Technology,Laptops,165.96,45.35
ORD74733,2025-03-13,West,Office Supplies,Pens,332.16,49.24
ORD84842,2023-09-01,Central,Technology,Laptops,517.17,91.76
ORD99330,2024-11-10,South,Technology,Accessories,313.79,79.68
ORD83301,2024-04-25,Central,Office Supplies,Pens,127.41,19.64
ORD57120,2024-08-09,Central,Technology,Accessories,636.68,126.84
ORD26773,2025-01-16,Central,Technology,Accessories,586.08,135.0
ORD45401,2024-10-27,South,Furniture,Bookcases,636.44,130.43
ORD93802,2024-04-28,South,Furniture,Bookcases,257.35,49.71
ORD20672,2025-06-05,East,Furniture,Chairs,452.22,69.96
ORD40049,2024-09-19,South,Technology,Phones,422.17,102.9
ORD15478,2024-07-20,South,Technology,Accessories,81.04,6.85
ORD72874,2023-11-05,West,Technology,Laptops,998.16,169.28
ORD15274,2024-12-18,South,Office Supplies,Binders,470.47,86.23
ORD20549,2024-11-13,Central,Technology,Accessories,687.13,172.41
ORD32966,2024-07-13,Central,Technology,Laptops,208.42,23.27
ORD51612,2023-09-26,Central,Furniture,Tables,775.75,175.49
ORD75304,2024-04-01,South,Office Supplies,Paper,361.83,102.55
ORD37454,2024-09-03,Central,Office Supplies,Binders,582.01,108.14
ORD90453,2023-07-27,South,Office Supplies,Binders,304.64,37.14
ORD17426,2024-11-22,East,Office Supplies,Paper,662.85,156.99
ORD84145,2024-09-28,West,Furniture,Bookcases,285.71,54.43
ORD33272,2024-05-27,Central,Furniture,Chairs,623.36,122.62
ORD95687,2025-01-17,West,Furniture,Bookcases,907.08,96.53
ORD83391,2024-07-21,West,Furniture,Chairs,425.04,97.48
ORD78519,2023-09-04,East,Technology,Phones,25.08,4.7
