date,region,category,total_sales,total_profit
2023-08-08,West,Technology,599.35,65.39
2023-08-08,South,Furniture,1041.87,270.81
2023-08-08,Central,Office Supplies,1043.03,282.81
2023-08-08,South,Office Supplies,478.56,94.44
2023-08-08,South,Technology,192.05,11.43
2023-08-08,West,Furniture,1361.96,175.3
2023-08-08,East,Office Supplies,1783.96,321.35
2023-08-09,South,Furniture,2351.83,514.56
2023-08-09,East,Office Supplies,422.09,36.83
2023-08-09,West,Office Supplies,266.24,47.61
2023-08-09,East,Technology,1580.92,217.37
2023-08-09,Central,Office Supplies,985.2099999999999,126.31
2023-08-09,West,Technology,994.68,136.76
2023-08-09,East,Furniture,92.38,27.68
2023-08-09,South,Technology,1623.77,207.51
2023-08-09,Central,Furniture,610.8599999999999,63.209999999999994
2023-08-09,South,Office Supplies,523.4100000000001,82.02
2023-08-10,East,Office Supplies,2131.17,227.68
2023-08-10,South,Furniture,671.82,42.93
2023-08-10,Central,Office Supplies,389.25,37.39
2023-08-10,Central,Technology,2892.67,506.58
2023-08-10,West,Technology,920.01,89.44999999999999
2023-08-11,Central,Office Supplies,1561.34,336.41999999999996
2023-08-11,Central,Furniture,851.29,112.83000000000001
2023-08-11,East,Furniture,1771.8600000000001,298.44
2023-08-11,West,Furniture,629.2,151.57
2023-08-11,West,Office Supplies,1681.4,322.61
2023-08-11,East,Office Supplies,814.61,242.1
2023-08-11,West,Technology,230.37,65.64
2023-08-12,South,Office Supplies,1323.25,273.22999999999996
2023-08-12,East,Furniture,806.58,202.0
2023-08-12,South,Furniture,2015.1499999999999,356.63
2023-08-12,South,Technology,674.93,73.09
2023-08-12,East,Technology,71.98,7.34
2023-08-12,West,Furniture,1033.24,252.73
2023-08-12,Central,Office Supplies,191.23,16.3
2023-08-12,West,Office Supplies,358.95,81.59
2023-08-13,West,Office Supplies,603.2099999999999,166.98
2023-08-13,South,Furniture,39.41,5.73
2023-08-13,East,Office Supplies,1392.4,284.88
2023-08-14,East,Office Supplies,1511.19,284.51
2023-08-14,East,Furniture,1237.01,206.9
2023-08-14,South,Furniture,2023.97,235.33
2023-08-14,Central,Technology,1375.18,291.89
2023-08-14,West,Office Supplies,661.52,146.34
2023-08-14,East,Technology,1224.7,84.34
2023-08-14,West,Technology,996.47,226.63
2023-08-14,Central,Office Supplies,1189.03,129.98
2023-08-15,East,Technology,99.89,8.62
2023-08-15,Central,Office Supplies,1190.6200000000001,125.24
2023-08-15,East,Office Supplies,628.3899999999999,139.76000000000002
2023-08-15,Central,Technology,2291.75,372.28999999999996
2023-08-15,West,Furniture,1039.5,183.84
2023-08-15,Central,Furniture,1695.04,176.93
2023-08-16,South,Furniture,2183.73,159.49
2023-08-16,Central,Furniture,1089.96,254.37
2023-08-16,West,Furniture,401.57,116.35
2023-08-16,South,Technology,944.28,168.8
2023-08-16,Central,Technology,1710.06,262.59000000000003
2023-08-16,West,Technology,560.01,28.33
2023-08-16,East,Technology,414.25,34.35
2023-08-16,Central,Office Supplies,1011.1600000000001,168.45
2023-08-16,South,Office Supplies,229.75,36.19
2023-08-16,East,Furniture,726.26,148.8
2023-08-16,West,Office Supplies,1355.5,318.21
2023-08-17,West,Furniture,699.11,125.59
2023-08-17,Central,Furniture,415.34,103.68
2023-08-17,West,Technology,943.61,70.09
2023-08-17,East,Furniture,941.25,153.15
2023-08-17,South,Technology,1788.56,370.15
2023-08-17,Central,Office Supplies,1832.17,393.37
2023-08-17,South,Furniture,815.12,232.55
2023-08-18,East,Furniture,548.0699999999999,106.50999999999999
2023-08-18,West,Technology,2590.6,365.59999999999997
2023-08-18,Central,Technology,951.34,81.75
2023-08-18,South,Furniture,217.52,46.25
2023-08-18,West,Office Supplies,1966.99,290.63
2023-08-18,Central,Furniture,387.36,56.3
2023-08-18,East,Office Supplies,335.88,37.82
2023-08-18,East,Technology,810.0,215.36
2023-08-18,West,Furniture,959.19,145.08
2023-08-18,South,Office Supplies,997.13,110.82
2023-08-19,East,Office Supplies,361.33,60.56
2023-08-19,East,Technology,641.37,144.03
2023-08-19,West,Technology,1121.9499999999998,239.84
